"Temps" "Dist" "Sexe" "Age"
6 27.31 1 1
6.89 45.94 2 3
4.7 23.98 1 1
4.78 11.69 2 1
6.56 25.83 1 2
6.65 24.3 2 2
4.87 26.97 2 1
7.39 46.41 1 3
5.66 37.34 1 1
6 31.01 1 2
5.78 22.05 2 2
6.88 38.42 1 3
7.08 24.75 2 3
5.5 28.17 1 1
7.31 26.87 2 3
4.47 36.99 1 1
4.29 NA 1 1
6.55 44.73 2 2
3.94 12.93 2 1
6.83 48.42 1 2
6.77 33.35 2 3
4.69 13.96 2 1
7.35 39.88 1 3
6.32 20.61 1 3
5.03 30.35 1 1
9.24 NA 1 3
5.16 28.29 2 1
4.99 27.87 2 1
7.66 49.32 1 3
10.17 45.81 1 3
6.77 39.08 1 3
5.44 26.43 1 2
4.91 25.92 2 1
4.07 29.31 2 1
6.02 43.2 2 3
5.76 28.9 1 2
7.28 40.85 1 3
4.92 4.43 1 1
8.47 45.95 1 3
6.1 NA 2 2
4.2 28.78 1 1
6.5 31.31 2 3
8.72 45.2 1 3
6.84 42.4 1 1
5.26 20.8 2 2
7.02 31.04 2 1
7.41 33 2 2
4.64 30.04 2 1
5.2 14.31 1 2
6.21 30.23 1 2
4.2 20.91 1 1
5.82 18.2 2 2
5.1 20.65 2 2
5.52 34.52 1 2
6.26 32.1 2 2
4.29 20.07 1 1
7.31 35.63 2 2
5.23 35.43 2 1
7.96 33.85 2 3
5.83 28.62 1 2
7.78 43.75 1 3
7.8 49.84 1 3
7.1 37.94 1 2
4.88 32.51 1 1
5.15 33.04 1 2
7.09 31.88 2 3
7.04 8.46 2 3
4.69 19.45 2 1
5.58 29.88 2 2
5.43 19.39 1 2
6.98 39.13 1 3
5.16 22.49 1 1
6.73 42.1 1 3
7.28 35.94 2 3
7.54 48.66 1 3
5.55 30.48 2 2
6.69 33.37 2 3
5.2 22.86 1 1
6.25 35.97 2 1
6.53 32.15 1 3
7.12 32.43 2 3
5.74 26.16 1 2
7.52 23.77 2 3
8.3 51.44 1 2
3.76 32.1 1 1
5.22 31.28 2 2
5.29 22.02 1 1
4.6 26.97 1 1
7.33 38.78 1 1
3.26 8.47 2 1
7.53 34.53 1 3
7.01 46.03 1 3
8.29 35.67 2 3
4.78 19.98 1 1
5.86 29.01 2 2
6.09 27.01 1 2
4.42 17.52 2 1
5.02 34.15 2 2
7.86 33.01 2 3
4.98 12.52 1 1

